2025-10-04 22:14:15,943 - vinted_scanner.py - send_restart_notification():49 - INFO - Restart notification sent to chat 203591317
2025-10-04 22:14:16,253 - vinted_scanner.py -       main():212 - INFO - Startup notification sent to chat 203591317
2025-10-04 22:14:17,414 - vinted_scanner.py -       main():245 - INFO - Search notification sent to chat 203591317
2025-10-04 22:14:17,414 - vinted_scanner.py -       main():254 - INFO - Searching with params: {'page': '1', 'per_page': '96', 'search_text': 'Amouage', 'catalog_ids': '', 'brand_ids': '', 'order': 'newest_first'}
2025-10-04 22:14:18,454 - vinted_scanner.py -       main():256 - INFO - API Response status: 200
2025-10-04 22:14:18,459 - vinted_scanner.py -       main():259 - INFO - Found 96 items in response
2025-10-04 22:14:18,459 - vinted_scanner.py -       main():264 - INFO - Item 1: Adventskalender Füllung Kosmetik 24Teile für Frauen: Bvlgari, Amouage - 30.0 EUR
2025-10-04 22:14:18,459 - vinted_scanner.py -       main():264 - INFO - Item 2: Amouage Blossom Love - 80.0 EUR
2025-10-04 22:14:18,459 - vinted_scanner.py -       main():264 - INFO - Item 3: Parfum Royal tobacco à 99% comme l’original tenue plus de 24h - 25.0 EUR
2025-10-04 22:14:18,459 - vinted_scanner.py -       main():272 - INFO - Processing 5 most recent items
2025-10-04 22:14:18,710 - vinted_scanner.py - send_telegram_message():187 - INFO - Telegram photo notification sent to chat 203591317
2025-10-04 22:14:18,939 - vinted_scanner.py - send_telegram_message():187 - INFO - Telegram photo notification sent to chat 203591317
2025-10-04 22:14:20,202 - vinted_scanner.py - send_telegram_message():187 - INFO - Telegram photo notification sent to chat 203591317
2025-10-04 22:14:20,430 - vinted_scanner.py - send_telegram_message():187 - INFO - Telegram photo notification sent to chat 203591317
2025-10-04 22:14:20,709 - vinted_scanner.py - send_telegram_message():187 - INFO - Telegram photo notification sent to chat 203591317
2025-10-04 22:14:20,711 - vinted_scanner.py -   <module>():308 - INFO - Scan completed. Waiting 2 minutes before next scan...
2025-10-04 22:16:22,780 - vinted_scanner.py -       main():245 - INFO - Search notification sent to chat 203591317
2025-10-04 22:16:22,780 - vinted_scanner.py -       main():254 - INFO - Searching with params: {'page': '1', 'per_page': '96', 'search_text': 'Amouage', 'catalog_ids': '', 'brand_ids': '', 'order': 'newest_first'}
2025-10-04 22:16:24,146 - vinted_scanner.py -       main():256 - INFO - API Response status: 200
2025-10-04 22:16:24,151 - vinted_scanner.py -       main():259 - INFO - Found 96 items in response
2025-10-04 22:16:24,151 - vinted_scanner.py -       main():264 - INFO - Item 1: Adventskalender Füllung Kosmetik 24Teile für Frauen: Bvlgari, Amouage - 30.0 EUR
2025-10-04 22:16:24,152 - vinted_scanner.py -       main():264 - INFO - Item 2: Amouage Blossom Love - 80.0 EUR
